year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume
2023,SEDAN,,All New Civic,1497.0,G,,,13,49,42,51,25,92,0,0,0,82,34,4,1199
2023,SEDAN,,Ioniq EV Signature,,BEV,CBU,Germany,0,0,0,0,0,0,0,0,0,0,0,0,7
2023,SEDAN,MAZDA,Ioniq 6,,BEV,CBU,South Korea,0,0,0,0,0,0,0,0,0,4,3,0,3
2023,SEDAN,AUDI,C 200 AVA Line (W206),1332.0,G,,,4,1,14,4,0,0,0,2,0,19,0,11,54
2023,SEDAN,BMW,Mazda 2 Sedan,1332.0,G,,,2,1,6,3,1,0,2,1,1,2,2,1,31
2023,SEDAN,HONDA,5 GT Ignite 1.5L,1496.0,G,,,0,23,7,16,2,1,1,12,7,9,7,12,239
2023,SEDAN,LEXUS,5 GT Magnify 1.5L,1498.0,G,CBU,Thailand,0,0,3,4,0,21,3,3,0,0,0,22,124
2023,SEDAN,MERCEDES-BENZ PC,Vios 1.5 G,1498.0,G,CKD,Thailand,24,75,13,10,15,1,16,24,23,9,0,0,14
2023,SEDAN,MINI,A5 2.0 TFSI,1984.0,G,CBU,Germany,0,0,0,36,11,25,3,0,0,0,1,0,7
2023,SEDAN,MINI,A6 2.0TFSI AT,1984.0,G,CBU,Germany,0,0,0,0,0,0,0,0,0,0,0,0,9
2023,SEDAN,NISSAN,218i Gran Coupe,1984.0,G,CBU,Germany,0,0,0,0,0,0,0,0,0,0,0,9,194
2023,SEDAN,PEUGEOT,320i CKD-A7 AT,2995.0,G,CBU,Germany,1,0,0,0,0,6,0,0,0,0,0,5,236
2023,SEDAN,PEUGEOT,M2 Coupe RHD MX AT,,-,,,0,0,2,10,11,0,0,0,0,0,0,10,72
2023,SEDAN,PEUGEOT,M3 Competition M xDrive T AT,1998.0,G,CBU,Germany,0,0,1,1,1,60,0,0,1,1,0,0,33
2023,SEDAN,WULING,M4 CSL AT,1998.0,G,CKD,INA,0,0,15,0,3,0,3,36,26,0,2,0,1
2023,SEDAN,WULING,M4 Competition M xDrive C RHD AT,1998.0,G,CKD,INA,5,13,26,7,22,0,7,23,26,9,0,0,20
2023,SEDAN,WULING,430i Coupe AT,2993.0,G,CBU,Germany,4,0,6,4,0,2,2,20,13,2,17,2,108
2023,SEDAN,WULING,530i Touring RHD AT,2993.0,G,CBU,Germany,2,0,1,17,3,13,10,19,10,5,15,0,54
2023,SEDAN,WULING,72AG 520I,2993.0,G,CBU,Germany,17,5,3,0,1,25,0,4,7,1,6,0,0
2023,SEDAN,WULING,735i Limousine RHD A/T,2993.0,G,CBU,Germany,14,33,37,29,30,3,1,11,10,1,5,1,1
2023,SEDAN,WULING,740Li G12 CKD AT,2993.0,G,CBU,Germany,0,0,0,0,0,18,0,0,0,0,2,0,1
2023,SEDAN,WULING,Z4 M40i AT,2993.0,G,CBU,Germany,20,33,29,7,11,4,7,19,15,4,1,0,30
2023,SEDAN,WULING,840i Gran Coupe AT,2993.0,G,CBU,Germany,0,0,0,1,0,9,0,0,0,0,0,0,5
