year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume
2023,4X2,AUDI,NX 450h+,,BEV,CBU,Japan,0,1,0,0,0,22,7,72,75,12,7,27,217
2023,4X2,AUDI,CX-30 GT,2488.0,G,CBU,Japan,19,19,30,11,19,2,6,32,38,2,2,20,125
2023,4X2,BMW,New CX-8 Elite,1998.0,G,CBU,Japan,10,3,3,19,5,2,80,6,6,6,23,5,0
2023,4X2,BMW,New CX-9,2488.0,G,CBU,Japan,5,0,25,3,13,10,3,145,92,52,2,97,206
2023,4X2,BMW,Cooper S Countryman F60 CKD A/T,1998.0,D,,,796,1004,99,40,610,66,30,802,817,702,28,682,92
2023,4X2,DFSK,X3 sDrive20i G01 CKD AT,2000.0,G,CKD,INA,43,64,46,60,32,42,31,51,35,28,34,25,0
2023,4X2,HINO,NEW 5008 AT Active,1598.0,G,CKD,Thailand,0,1,394,188,0,143,679,0,0,0,1464,0,601
2023,4X2,HINO,All New Kijang Innova G AT DSL Mi 2020,2494.0,G,CKD,M a l a ysi a,322,439,0,0,480,0,-1,267,136,252,0,481,428
2023,4X2,HYUNDAI,(HMID) Mazda 3 Hatchback,2488.0,G,,,1,2,0,8,1,5,0,10,2,1,0,0,46
2023,4X2,HYUNDAI - HMID,TIGGO 8 PRO PREMIUM,1798.0,G,CKD,INA,3,4,0,0,1,1,2,1,1,0,0,2,491
2023,4X2,ISUZU,GLORY 560 1.8 A/T CVT LUXURY,2000.0,G,CKD,INA,0,0,0,30,0,0,0,0,0,0,0,0,47
2023,4X2,ISUZU,Mazda 6 Elite Estate 1.998 G 62 - 156 2.699 5075 x 1969 x,1747.0,-,CBU,M a l a ysi a,0,2,0,4,2,5,4,0,0,1,8,0,58
2023,4X2,ISUZU,All New Kijang Innova G Mi 2020,1598.0,D,CKD,Japan,298,655,632,409,446,157,983,920,583,913,1887,1057,86
2023,4X2,JEEP,AMG A 45 4MATIC (W177)*,2488.0,G,CBU,Japan,3,3,28,26,10,2,3,15,9,4,0,7,1761
2023,4X2,JEEP,Pajero Sport 2.4L DAKAR (4x2) 8AT,1998.0,D,CKD,Germany,66,97,0,0,38,0,0,42,40,43,0,27,59
2023,4X2,JEEP,Pajero Sport 2.4L DAKAR Utimate (4x2) 8AT,2442.0,D,CBU,Germany,0,0,20,61,0,21,21,0,0,0,21,0,47
2023,4X2,KIA,New CR-V,2000.0,G,CKD,INA,35,26,0,0,30,0,0,0,0,0,488,0,17
2023,4X2,KIA,NX 300,1998.0,G,CBU,Korea,0,2,8,5,14,3,1,21,25,10,0,62,50
2023,4X2,KIA,RZ 450e,,HYBRID,CBU,Japan,0,0,8,3,1,2,2,3,1,0,1,5,34
2023,4X2,KIA,RX 500h,,G,CBU,Japan,9,16,275,97,8,71,54,4,0,2,101,3,1
2023,4X2,LEXUS,All New CR-V 2.0 e:HEV,,BEV,,,0,0,0,0,0,0,0,0,0,7,0,0,1
2023,4X2,LEXUS,Kona EV,2000.0,G,,,0,0,0,0,0,0,0,0,0,1,0,0,121
2023,4X2,LEXUS,NX 350h,1998.0,G,CBU,Korea,2,9,0,0,6,0,0,0,0,0,0,0,96
2023,4X2,LEXUS,NX 250,1998.0,G,CBU,Japan,0,0,0,0,1,3,2,0,0,0,0,0,103
2023,4X2,LEXUS,M-AMG GLA 35,2000.0,G,CKD,Japan,74,32,0,0,11,0,0,1,0,0,0,0,1421
2023,4X2,MAZDA,T ucson,2200.0,D,CBU,South Korea,1,0,6,6,0,0,1,0,0,0,0,0,1527
2023,4X2,MAZDA,GLA 200,1595.0,G,CKD,Japan,0,0,0,1,0,1,0,0,0,0,0,0,304
2023,4X2,MAZDA,GLC 200 AMG,1991.0,G,,,0,1,0,0,0,0,0,0,0,0,9,0,256
2023,4X2,MAZDA,Pajero Sport 2.5 E HP (4X2) 5 AT - DAKAR,2442.0,D,,,143,32,8,10,24,10,12,123,15,20,6,100,73
2023,4X2,MERCEDES BENZ,Pajero Sport 2.5 L EXCEED (4X2) 5AT,2477.0,D,CKD,INA,0,6,0,0,7,0,0,8,3,10,0,6,105
2023,4X2,MERCEDES BENZ,Pajero Sport 2.5L EXCEED-H (4x2) 5MT,2477.0,D,CBU,INA,0,0,55,9,0,34,44,0,0,0,59,0,26
2023,4X2,MERCEDES BENZ CV,All New Kijang Innova V AT Mi 2020,1998.0,D,CKD,M a l a ysi a,1,0,0,0,0,0,0,0,0,0,0,0,54
2023,4X2,MERCEDES BENZ CV,All New Kijang Innova V AT DSL Mi 2020,1998.0,G,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,41
2023,4X2,MERCEDES-BENZ PC,Santa Fe D2.2 8DCT Prime,2200.0,D,CBU,South Korea,28,53,0,0,42,0,0,43,43,18,0,23,10
2023,4X2,MERCEDES-BENZ PC,Santa Fe D2.2 8DCT Signature,2500.0,G,CBU,South Korea,0,0,2,1,0,21,15,0,0,0,8,0,1
2023,4X2,MERCEDES-BENZ PC,GLC 200 AMG ( FL ),1991.0,G,,,0,0,16,1,0,6,8,0,1,9,5,24,92
2023,4X2,MERCEDES-BENZ PC,Se p ri n te r,1991.0,G,CBU,INA,6,0,3,0,13,1,8,7,10,14,0,6,531
2023,4X2,MINI,Santa Fe G2.5 6AT Style,2500.0,G,CBU,South Korea,15,1,9,36,49,22,13,14,9,8,6,29,1
2023,4X2,MINI,Cooper S Hatch A/T,2143.0,G,CBU,INA,0,0,4,5,25,4,0,7,9,5,5,1,60
2023,4X2,MITSUBISHI FUSO,NEW 5008 AT Allure Midlife,1598.0,G,CBU,INA,3,4,2,0,3,0,1,4,3,6,3,3,616
2023,4X2,MITSUBISHI FUSO,NEW 3008 AT Active,1598.0,G,CBU,INA,0,1,0,0,2,0,0,0,0,0,0,3,0
2023,4X2,MITSUBISHI MOTORS,Santa Fe G2.5 6AT Signature,2200.0,D,CBU,South Korea,2,19,251,206,3,430,177,2,12,17,117,16,41
2023,4X2,MITSUBISHI MOTORS,Palisade 2.2 CRDi,2200.0,D,CBU,South Korea,87,214,14,5,396,3,1,140,97,88,3,132,407
2023,4X2,MITSUBISHI MOTORS,John Cooper Works Hatch A/T,1998.0,G,CBU,INA,0,0,8,1,5,0,5,10,6,3,14,5,18
2023,4X2,MITSUBISHI MOTORS,Cooper S 5 Door A/T,1998.0,G,CBU,Spain,0,0,25,1,8,11,8,6,2,3,5,26,72
2023,4X2,Mazda,2 GT AT,1498.0,G,,,0,245,271,119,1024,0,0,87,47,0,4,0,329
2023,4X2,Mazda,ZS Excite,1498.0,G,CKD,Thailand,0,5,5,4,96,59,7,771,1126,0,0,12,85
2023,4X2,Mazda,ZS Ignite,1498.0,G,,,0,222,432,129,0,0,5,228,151,0,0,0,0
2023,4X2,Mazda,ZS Activate 1.5L CVT,1498.0,G,CKD,Thailand,8,604,720,153,18,0,0,0,0,1,0,0,1
2023,4X2,Mazda,ZS Ignite 1.5L CVT,1498.0,G,,,0,10,12,0,0,5,0,95,63,13,0,0,7
2023,4X2,Mazda,ZS Magnify 1.5L CVT,,BEV,CKD,Thailand,0,11,70,63,70,6,0,0,0,0,23,2,14
2023,4X2,Mazda,ZS EV,1490.0,G,,,1,30,33,24,18,0,0,214,149,0,0,60,370
2023,4X2,Mazda,HS Excite,1490.0,G,CKD,Ch i n a,6,570,730,90,294,0,23,19,5,0,0,0,2
2023,4X2,Mazda,HS Ignite,1490.0,G,,,0,0,1,0,200,2,0,298,171,0,0,0,0
2023,4X2,Mazda,HS i-Smart Magnify,1490.0,G,CKD,Thailand,0,0,0,0,23,0,0,462,220,0,5,0,2
2023,4X2,Mazda,New HS Activate,1490.0,G,,,18,507,517,196,99,9,0,26,6,1,0,0,53
2023,4X2,Mazda,New HS Ignite,1490.0,G,CKD,Thailand,0,218,278,195,18,0,1,105,46,5,0,0,2
2023,4X2,Mazda,New HS i-Smart Magnify,,BEV,,,0,1827,1558,1096,493,0,0,82,26,1,6,0,13
2023,4X2,Mazda,4 EV Ignite,,BEV,CKD,Thailand,0,1274,1585,646,0,0,0,427,407,3,10,6,129
2023,4X2,Mazda,4 EV Ignite,1499.0,G,,,0,0,0,0,0,5,6,0,0,1,7,0,27
2023,4X2,Mazda,Cooper 5 Door A/T,1499.0,G,CKD,Ch i n a,0,5,7,4,134,1,8,0,0,1,0,1,72
2023,4X2,Mazda,Cooper Clubman A/T,1499.0,G,,,0,0,0,0,204,3,28,277,334,0,1,1,5
2023,4X2,Mazda,Cooper Countryman F60 CKD A/T,1499.0,G,CKD,UK,0,150,166,21,1510,5,0,245,265,1,0,0,5
2023,4X2,Mazda,Cooper Countryman F60 CKD A/T,,BEV,,,0,39,36,12,948,0,0,1648,1332,10,3,0,0
2023,4X2,Mazda,Cooper SE Hatch A/T,1499.0,G,CKD,INA,1521,0,0,0,0,0,0,890,1094,0,16,6,48
2023,4X2,Mazda,Eclipse Cross,1499.0,G,,,31,0,0,0,0,0,2,0,0,976,0,50,185
2023,4X2,Mazda,Xpander 1.5L ULTIMATE (4X2) CVT,1499.0,G,CKD,Japan,157,0,0,0,0,0,23,0,0,16,950,0,0
2023,4X2,Mazda,Xpander 1.5L SPORT (4X2) CVT,1499.0,G,,,202,0,0,0,16,0,0,0,0,35,6,961,12168
2023,4X2,Mazda,Xpander 1.5L SPORT (4X2) M/T,1499.0,G,CKD,INA,210,0,0,0,1,4,739,0,0,290,19,7,274
2023,4X2,Mazda,Xpander 1.5L EXCEED (4X2) CVT,1499.0,G,,,125,0,0,0,1,2,21,0,0,183,627,32,618
2023,4X2,Mazda,Xpander 1.5L EXCEED (4X2) M/T,1499.0,G,CKD,INA,166,0,0,0,213,0,65,0,9,48,267,366,3888
2023,4X2,Mazda,Xpander 1.5L GLS (4X2) CVT,1499.0,G,,,1936,0,0,0,0,981,284,81,55,87,33,299,2324
2023,4X2,Mazda,Xpander 1.5L GLS (4X2) M/T,1499.0,G,CKD,INA,0,0,0,0,0,33,179,0,1,999,81,29,976
2023,4X2,Mazda,Xpander Cross 1.5L PREMIUM (4X2) CVT,1499.0,G,,,228,0,0,0,0,66,43,8,37,0,929,32,1003
2023,4X2,Mazda,Xpander Cross 1.5L (4X2) CVT,1499.0,G,CKD,INA,0,0,0,0,0,285,101,54,70,219,0,1099,15494
2023,4X2,Mazda,Xpander Cross 1.5L (4X2) M/T,1499.0,G,,,0,57,0,0,0,211,1280,22,73,77,172,0,0
2023,4X2,Mazda,Xforce Ultimate 1.5L 4X2 A/T,1499.0,G,CKD,INA,0,0,0,0,0,55,0,39,77,2,1094,206,2610
2023,4X2,Mazda,Xforce Exceed 1.5L 4X2 A/T,,BEV,,,0,2,0,0,0,24,237,639,408,5,110,1403,2574
2023,4X2,Mazda,EQA 250,,BEV,CKD,INA,0,3,2,0,0,952,0,885,361,9,1,37,149
2023,4X2,Mazda,EQB 250,1332.0,G,,,12,45,32,10,0,0,0,51,61,0,2,0,26
2023,4X2,Mazda,GLA 200 Progressive Line ( H247),1332.0,G,,,2,200,955,176,47,232,0,21,47,0,0,5,33
2023,4X2,Mazda,GLB 200 Progressive Line ( X247),1498.0,G,,,0,0,0,0,1,0,0,89,20,0,4,0,0
2023,4X2,Mazda,Livina EL M/T,1498.0,G,,,67,0,0,0,0,0,0,0,0,0,0,4,104
2023,4X2,Mazda,Livina VE,1498.0,G,,,11,0,0,0,0,0,9,0,0,14,0,0,5
2023,4X2,Mazda,Livina VL,1200.0,HYBRID,CKD,INA,4,3,0,3,13,0,0,8,5,7,15,0,77
2023,4X2,Mazda,KICKS E-POWER,,BEV,,,0,0,0,0,428,0,7,19,18,0,8,30,486
2023,4X2,Mazda,Leaf,999.0,G,CKD,INA,1,0,0,0,0,21,18,163,433,29,0,3,141
2023,4X2,Mazda,Magnite Premium Turbo CVT,999.0,G,,,4,41,143,8,0,0,6,1,0,1,16,0,73
2023,4X2,Mazda,Magnite Premium Turbo MT,999.0,G,CKD,Japan,2,4,10,9,0,7,2,1,2,0,0,31,249
2023,4X2,Mazda,Magnite Premium Upper Turbo CVT,999.0,G,,,0,0,3,0,30,26,37,0,10,0,0,0,29
2023,4X2,Mazda,Magnite Premium Upper Turbo MT,999.0,G,CKD,Thailand,0,33,43,28,0,11,0,0,0,0,0,0,12
2023,4X2,Mazda,Magnite Premium Mid Turbo MT,,BEV,,,2,0,0,0,2,16,0,0,0,0,0,0,13
2023,4X2,NETA,V EV,1199.0,G,CBU,Thailand,28,0,0,0,1,12,0,0,1,3,100,0,0
2023,4X2,NETA,2008 AT,1197.0,G,,,169,0,0,0,0,1,0,0,0,1,2,81,181
2023,4X2,NETA,Ignis GX MT,1197.0,G,CKD,Ch i n a,0,0,2,0,1,0,0,0,0,58,0,1,27
2023,4X2,NETA,Ignis GX AT,998.0,G,,,0,83,419,450,29,0,2,5,8,123,73,0,396
2023,4X2,NETA,S-Presso MT,998.0,G,CKD,India,8,0,0,0,0,0,12,19,9,143,12,72,856
2023,4X2,NETA,S-Presso AT,1462.0,G,,,145,0,0,0,0,0,71,3,5,10,223,83,1166
2023,4X2,NETA,All New Ertiga GA,1462.0,G,CKD,India,0,10,120,0,0,0,139,45,102,190,9,317,2451
2023,4X2,NETA,All New Ertiga GL MT,1462.0,G,,,157,0,0,0,10,90,266,100,150,0,126,3,117
2023,4X2,NETA,All New Ertiga GX MT,1462.0,G,CKD,INA,188,140,1041,418,445,75,8,99,203,53,0,159,1898
2023,4X2,NETA,All New Ertiga GL AT,1462.0,HYBRID,,,345,0,0,0,0,120,112,281,452,70,104,0,0
2023,4X2,NETA,All New Ertiga GX Hybrid,1462.0,HYBRID,CKD,INA,64,56,0,0,0,198,0,0,0,77,85,144,1495
2023,4X2,NETA,All New Ertiga GX Hybrid,1462.0,HYBRID,,,188,14,12,7,99,9,95,0,0,24,301,53,1236
2023,4X2,NETA,All New Ertiga SX Hybrid,1462.0,HYBRID,CKD,INA,67,9,136,0,242,124,55,57,38,88,47,205,2381
2023,4X2,NETA,All New Ertiga SS Hybrid,1462.0,G,,,63,50,47,31,682,0,113,31,65,188,159,13,510
2023,4X2,NETA,Xl-7 Zeta MT,1462.0,G,CBU,INA,118,37472,46811,25817,0,89,20,168,273,220,184,86,1601
2023,4X2,NETA,Xl-7 Zeta AT,1462.0,G,,,231,78045,124856,150673,0,65,57,0,104,0,266,360,2111
2023,4X2,NISSAN,Cooper S Clubman A/T,1998.0,G,CBU,UK,0,0,0,0,11,0,9,8,16,15,3,5,177
2023,4X2,PEUGEOT,Staria Signature 7,2200.0,D,CBU,South Korea,8,11,1,0,7,1,0,10,4,7,2,5,0
2023,4X2,SCANIA,All New Kijang Innova G Imp 2020,2494.0,G,CKD,M a l a ysi a,0,0,1,0,0,0,0,0,0,0,0,0,65
2023,4X2,SCANIA,All New Kijang Innova Venturer Mi 2020,2494.0,G,CKD,INA,2,0,0,0,0,0,0,0,0,0,0,0,12
2023,4X2,SCANIA,All New Kijang Innova Venturer AT Mi 2020,1998.0,D,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,4X2,SCANIA,All New Kijang Innova Venturer DSL Mi 2020,1998.0,D,CKD,INA,1,0,432,919,0,781,767,0,0,0,378,0,7740
2023,4X2,SCANIA,All New Kijang Innova Venturer AT DSL Mi 2020,2494.0,G,CKD,INA,856,229,553,34,967,764,415,685,1311,748,235,733,11077
2023,4X2,SCANIA,All New Kijang Innova Zenix G Cvt 2.0,2494.0,G,CKD,INA,1186,1025,116,218,292,410,650,901,942,417,596,462,3900
2023,4X2,SCANIA,All New Kijang Innova Zenix V Cvt 2.0,1987.0,HYBRID,CKD,INA,269,212,91,217,419,207,277,904,609,810,303,812,-1
2023,4X2,SCANIA,All New Kijang Innova Zenix G Hev Cvt 2.0,1987.0,HYBRID,CKD,INA,195,173,151,651,160,273,367,436,311,377,526,315,2
2023,4X2,SCANIA,All New Kijang Innova Zenix V Hev Cvt 2.0,1987.0,HYBRID,CKD,INA,339,271,0,1,435,0,1,500,307,457,68,631,0
2023,4X2,SCANIA,All New Kijang Innova Zenix V Hev Cvt 2.0 Modellista,1987.0,HYBRID,CKD,INA,0,0,720,874,0,1153,1385,0,35,53,1265,8,2
2023,4X2,SCANIA,All New Kijang Innova Zenix Q Hev Cvt Tss 2.0,1987.0,HYBRID,CKD,INA,662,323,90,119,722,258,323,1928,1233,1590,252,1689,0
2023,4X2,SCANIA,All New Kijang Innova Zenix Q Hev Cvt Tss 2.0 Modellista,1987.0,G,CKD,INA,63,155,480,181,367,519,458,328,266,295,0,233,1
2023,4X2,SCANIA,Voxy 2.0 AT,1987.0,G,CBU,INA,191,316,0,0,561,0,0,2,0,0,86,0,8806
2023,4X2,SCANIA,"Alphard 2,5 G",2000.0,G,CBU,INA,0,0,26,14,0,13,0,0,112,102,0,71,7226
2023,4X2,SCANIA,"Alphard 2,5 G",2500.0,G,CBU,INA,0,0,0,0,102,0,0,0,0,0,79,0,6025
2023,4X2,SCANIA,Alphard 2.5 X,2500.0,HYBRID,CBU,INA,0,0,28,5,0,59,15,0,95,61,0,125,3062
2023,4X2,SCANIA,Alphard 2.5 Hybrid,2500.0,G,CBU,INA,2,46,0,0,87,0,0,0,1,0,0,0,4908
2023,4X2,SCANIA,Vellflre 2.5,2494.0,HYBRID,CBU,Japan,0,0,0,0,0,0,0,0,1,0,0,0,166
2023,4X2,SCANIA,Vellflre 2.5 VIP Hybrid,2500.0,G,CBU,Japan,0,0,6,9,0,0,1,0,0,0,0,0,13544
2023,4X2,SCANIA,C-HR 1.8 AT,2500.0,HYBRID,CBU,Japan,1,13,0,0,4,0,0,2,1,0,0,0,2749
2023,4X2,SCANIA,C-HR 1.8 AT Hybrid,1798.0,G,CBU,Japan,0,0,95,31,0,151,66,0,0,0,8,0,2708
2023,4X2,SCANIA,Corolla Cross 1.8 AT,1798.0,HYBRID,CBU,Japan,4,192,44,29,103,71,36,9,8,7,35,6,371
2023,4X2,SCANIA,Corolla Cross 1.8 AT Hybrid,1798.0,HYBRID,CBU,Japan,0,75,5,20,46,26,23,69,17,65,21,50,155
2023,4X2,SCANIA,Corolla Cross 1.8 AT Hybrid GR Sport,1798.0,D,CKD,Japan,6,14,34,37,47,23,48,12,6,28,0,0,360
2023,4X2,SCANIA,Fortuner G 2.4 Dsl Imp 2021,1798.0,D,CKD,Thailand,48,33,126,512,21,243,205,5,19,9,148,13,243
2023,4X2,SCANIA,Fortuner G 2.4 Dsl AT Imp 2021,2393.0,G,CBU,Thailand,3,87,0,0,314,0,0,213,249,309,51,132,1
2023,4X2,SCANIA,HI-ACE Commuter HI Grade,2393.0,HYBRID,CKD,Thailand,0,0,36,10,0,11,6,0,48,51,0,100,0
2023,4X2,SCANIA,New Almaz HEV,2500.0,HYBRID,CKD,Thailand,4,64,6710,6931,14,7888,8322,2,1,1,9531,0,37
2023,4X2,SCANIA,Almaz RS Hybrid,2000.0,-,,,6344,6502,19556,26487,8281,42656,50978,10272,9208,10105,90094,11732,0
2023,4X2,SUBARU,Cooper S Convertible A/T,1998.0,G,CBU,UK,0,0,0,0,0,0,0,1,7,3,0,3,0
2023,4X2,SUBARU,John Cooper Works Convertible A/T,1998.0,G,CKD,UK,0,0,29,21,0,14,6,0,0,0,24,0,3
2023,4X2,SUZUKI,CX-3 Pro,,G,CBU,Japan,311,274,2,313,193,355,103,153,102,74,64,56,10
2023,4X2,SUZUKI,CX-3 Sport,1998.0,G,CBU,Japan,18,6,25,35,17,39,31,172,105,194,3,72,30
2023,4X2,SUZUKI,CUM ULAT IVE CX-5 Elite,1998.0,G,CBU,Japan,10,46,1,21,3,0,47,44,38,7,38,23,688
2023,4X2,TATA,All New Kijang Innova G DSL Mi 2020,1998.0,D,CKD,M a l a ysi a,0,0,318,134,861,493,236,922,1019,1554,342,2653,0
2023,4X2,TOYOTA,Staria Signature 9,2499.0,D,CBU,South Korea,0,0,0,0,0,0,0,0,99,0,0,0,172
2023,4X2,TOYOTA,MU-X RBD1,2199.0,G,CBU,South Korea,0,0,0,0,0,0,0,0,0,0,0,0,262
2023,4X2,TOYOTA,Ca rn i va l,2151.0,D,CBU,Thailand,2,36,0,0,0,0,0,18,18,0,0,8,2335
2023,4X2,TOYOTA,UX 250h AT BEV 72,2500.0,-,CBU,Japan,18,0,50,184,1,122,57,0,0,0,26,0,0
2023,4X2,TOYOTA,UX 300e,,HYBRID,CBU,Japan,0,17,0,0,100,0,0,81,15,36,19,0,2
2023,4X2,TOYOTA,RX 350h,2487.0,HYBRID,CBU,Japan,0,0,0,0,0,0,0,0,50,5,0,51,137
2023,4X2,TOYOTA,BRAND RX 350h Luxury HEV AT,,-,CBU,Japan,0,0,0,0,0,6,1,0,0,0,12,0,0
2023,4X2,TOYOTA,Cooper S Countryman F60 CKD A/T,1998.0,G,CKD,UK,36,28,1115,1019,14,676,484,26,10,32,542,12,43
2023,4X2,TOYOTA,Pajero Sport 2.5 L EXCEED (4X2) 5MT,2477.0,G,CBU,INA,49,20,16,4,30,2,5,31,42,38,1,17,0
2023,4X2,TOYOTA,All New Serena Highway Star 2.0 AT,2477.0,G,CBU,INA,6,7,15,9,10,1,1,4,7,3,3,0,252
2023,4X2,TOYOTA,BRAND NEW 3008 AT Allure Midlife,1998.0,G,CBU,Thailand,4,7,1,0,2,11,2,5,3,4,1,0,9249
2023,4X2,WULING,Grand Sedona,2151.0,D,,,0,2,30,2,0,0,18,0,0,0,5,0,155
2023,4X2,,OMDA 5 Z,1500.0,G,,,0,14,15,6,127,0,0,65,31,188,100,136,160
2023,4X2,,All New Xenia 1.3 M MT,1329.0,G,,,244,22,33,10,42,55,80,8,7,352,86,124,4936
2023,4X2,,All New Xenia 1.3 R MT,1496.0,G,CKD,INA,92,439,390,301,189,30,3,1,0,64,40,90,2502
2023,4X2,,All New Xenia 1.3 R CVT,1496.0,G,,,53,71,59,18,48,469,461,0,0,140,59,140,520
2023,4X2,,New Sirion 1.3 MT 2022,1298.0,G,,,268,0,0,0,377,42,0,250,207,0,20,3,20
2023,4X2,,New Sirion 1.3 CVT 2022,1500.0,G,CKD,M a l a ysi a,0,0,0,0,18,12,0,439,380,456,410,0,480
2023,4X2,,Gran Max BV 1.5,1298.0,G,CKD,INA,293,0,0,0,0,0,17,261,161,94,61,642,376
2023,4X2,,Gran Max MB 1.3 HI FF,1495.0,G,,,198,0,0,0,0,10,998,1,0,118,103,6,811
2023,4X2,,Gran Max MB 1.3 HI,1495.0,G,CKD,INA,39,0,0,0,0,934,0,1,0,30,30,71,2186
2023,4X2,,Luxio 1.5 D (New),1495.0,G,CKD,INA,55,0,0,0,0,0,257,81,57,62,75,40,597
2023,4X2,,Luxio 1.5 X MT (New),1495.0,G,,,3,0,0,0,0,46,206,0,0,38,33,24,1619
2023,4X2,,Luxio 1.5 X AT (New),1496.0,G,CKD,INA,626,7,0,0,0,213,61,0,2,0,10,10,741
2023,4X2,,All New Terios IDS X MT,1496.0,G,CBU,INA,437,59,10,26,0,98,52,534,483,0,0,0,4915
2023,4X2,,All New Terios IDS X AT,1496.0,G,,,174,132,560,625,0,165,3,2,32,0,0,0,1115
2023,4X2,,All New Terios IDS R,1496.0,G,CBU,INA,2,1,21,23,0,102,0,28,123,0,0,0,1844
2023,4X2,,All New Terios IDS Custom AT,1496.0,G,,,0,0,0,0,27,0,0,14,27,1180,0,0,8
2023,4X2,,All New Terios IDS X MT (MC 2023),1496.0,G,CKD,INA,0,0,0,0,857,0,0,24,61,561,1188,0,8
2023,4X2,,All New Terios IDS X AT (MC 2023),1496.0,G,,,0,21,52,44,16,0,0,457,686,266,484,1527,7930
2023,4X2,,All New Terios IDS R MT (MC 2023),1496.0,G,CKD,INA,0,8,15,5,0,0,1074,16,3,366,302,331,2859
2023,4X2,,All New Terios IDS R AT (MC 2023),1496.0,G,,,0,0,0,0,109,0,404,0,0,45,173,605,2193
2023,4X2,,All New Terios IDS Custom AT (MC 2023),998.0,G,,,63,3,2,0,0,1452,239,0,0,10,76,92,337
2023,4X2,,Rocky 1.0 R ASA CVT,998.0,G,CKD,INA,11,2,1,1,38,155,34,1,0,34,7,87,495
2023,4X2,,Rocky 1.0 R CVT,998.0,G,,,450,39,64,14,9,487,64,66,44,3,10,2,90
2023,4X2,,Rocky 1.0 R MT,1200.0,G,CKD,INA,19,0,2,0,0,124,3,5,6,182,2,20,389
2023,4X2,,Rocky 1.2 X CVT,1200.0,G,,,10,0,0,0,0,101,55,0,0,74,347,3,65
2023,4X2,,Rocky 1.2 X MT,1200.0,G,CKD,INA,5,0,0,0,0,121,5,1,0,52,51,255,3269
2023,4X2,,Rocky 1.2 M CVT,1200.0,G,,,0,6,9,3,0,2,197,0,0,4,5,50,1178
2023,4X2,,Rocky 1.2 M MT,1498.0,G,CKD,INA,0,0,0,1,21,3,220,5,2,0,12,15,212
2023,4X2,,GLORY 580 1.5T A/T CVT COMFORT,1498.0,G,,,0,1,2,2,0,13,15,48,48,3,0,5,125
2023,4X2,,GLORY 580 1.5T M/T LUXURY,1498.0,G,CKD,INA,0,21,9,10,0,161,10,0,0,0,0,0,80
2023,4X2,,GLORY 580 1.5T A/T CVT LUXURY,1498.0,G,,,21,0,0,0,0,189,30,0,0,39,0,0,3
2023,4X2,,GLORY 560 1.5T 6M/T LUXURY,1498.0,G,CKD,INA,0,0,0,0,6,5,0,0,1,0,1,50,73
2023,4X2,,GLORY 560 1.5T A/T CVT LUXURY,1498.0,G,,,0,0,0,0,0,15,0,12,0,0,0,0,48
2023,4X2,,GLORY 560 1.5T A/T CVT COMFORT,1498.0,G,CKD,INA,1,0,0,0,2,20,4,0,0,1,0,0,34
2023,4X2,,GLORY I-AUTO,1498.0,G,,,14,0,0,0,15,0,2,0,2,6,1,0,0
2023,4X2,,GELORA Blind Van (4X2) M/T,1498.0,G,CKD,INA,0,0,0,5,0,0,0,13,15,1,2,2,17
2023,4X2,,GELORA C36 MINI BUS 1.5 (4X2) M/T,1498.0,BEV,,,0,0,17,6,0,2,1,5,3,0,0,20,90
2023,4X2,,GELORA EC35 BLIND VAN (4X2) A/T,,BEV,CKD,Ch i n a,0,0,0,0,0,2,5,11,22,1,23,20,80
