year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume
2023,SEDAN,HONDA,All New City,1497.0,G,CBU,Thailand,13,49,42,51,25,0,0,0,0,82,34,4,300
2023,SEDAN,HONDA,All New Civic,1500.0,G,CBU,Thailand,17,172,104,62,117,92,94,98,75,87,172,109,1199
2023,SEDAN,BMW,i7 xDrive60 Limousine RHD AT,,BEV,CBU,Germany,0,0,0,0,0,0,0,0,62,28,29,15,134
2023,SEDAN,BMW,CBU i4 eDrive35 Gran Coupe AT,,BEV,CBU,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,HYUNDAI HMID,Ioniq EV Prime,,BEV,CBU,South Korea,0,0,0,0,0,0,0,0,0,4,3,0,7
2023,SEDAN,HYUNDAI HMID,Ioniq EV Signature,,BEV,CBU,South Korea,0,0,0,0,0,0,0,0,0,3,0,0,3
2023,SEDAN,HYUNDAI HMID,Ioniq 6,,BEV,CBU,South Korea,0,0,0,0,0,0,93,61,10,74,22,3,263
2023,SEDAN,HYUNDAI HMID,Genesis G80 EV,,BEV,CBU,South Korea,0,0,0,0,1,0,0,0,0,4,0,11,16
2023,SEDAN,MERCEDES BENZ PC,CLA 200 AMG Line (C118),1332.0,G,,,4,1,14,4,0,7,0,2,0,19,2,1,54
2023,SEDAN,MERCEDES BENZ PC,AMG CLA 45 S (C118),1332.0,G,,,2,1,6,3,1,0,2,1,1,2,12,0,31
2023,SEDAN,MERCEDES BENZ PC,C 200 AVA Line (W206),1496.0,G,,,21,30,65,40,36,0,12,9,3,1,0,22,239
2023,SEDAN,MAZDA,Mazda 2 Sedan,1496.0,G,CBU,Thailand,23,7,16,2,1,29,12,7,9,7,5,6,124
2023,SEDAN,MORRIS GARAGE,5 GT Activate 1.5L,1498.0,G,CBU,Thailand,0,0,3,4,0,1,3,3,0,0,0,0,14
2023,SEDAN,MORRIS GARAGE,5 GT Ignite 1.5L,1498.0,G,CBU,Thailand,4,4,17,13,8,21,22,38,38,23,23,9,220
2023,SEDAN,MORRIS GARAGE,5 GT Magnify 1.5L,1498.0,G,CBU,Thailand,24,75,13,10,15,7,16,24,23,9,25,16,257
2023,SEDAN,TOYOTA,Vios 1.5 E,1500.0,G,CKD,INA,0,0,0,0,0,1,1,0,0,1,0,0,3
2023,SEDAN,TOYOTA,Vios 1.5 G,1500.0,G,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,TOYOTA,VIOS 1.5 G AT FMC,1500.0,G,CKD,INA,23,94,41,34,55,49,52,38,39,40,59,43,567
2023,SEDAN,TOYOTA,Vios G AT,1500.0,G,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,AUDI,A5 2.0 TFSI,1984.0,G,CBU,Germany,0,2,0,0,2,0,0,0,0,2,1,0,7
2023,SEDAN,AUDI,A5 2.0 TFSI A/T SB,1984.0,G,CBU,Germany,0,1,0,2,0,0,1,0,0,0,1,0,5
2023,SEDAN,AUDI,A6 2.0TFSI AT,1984.0,G,CBU,Germany,1,1,1,0,0,2,1,2,1,0,0,0,9
2023,SEDAN,AUDI,A8L 3.0 AT,2995.0,G,CBU,Germany,0,0,0,0,0,0,1,0,0,0,0,0,1
2023,SEDAN,BMW,218i Gran Coupe,,-,,,11,3,22,6,24,39,6,4,23,27,20,9,194
2023,SEDAN,BMW,220i Coupe AT,1998.0,G,CBU,Germany,0,0,0,0,3,1,5,0,5,4,1,1,20
2023,SEDAN,BMW,320i CKD-A7 AT,1998.0,G,CKD,INA,22,71,23,18,24,15,20,13,5,2,18,5,236
2023,SEDAN,BMW,330i CKD B7 AT,1998.0,G,CKD,INA,13,22,34,3,13,11,0,39,32,49,25,11,252
2023,SEDAN,BMW,M2 Coupe RHD MX AT,2993.0,G,CBU,Germany,0,0,0,0,0,0,0,0,15,25,22,10,72
2023,SEDAN,BMW,M3 AT,2993.0,G,CBU,Germany,0,0,7,20,3,1,5,4,2,4,1,35,82
2023,SEDAN,BMW,M3 Competition M xDrive T AT,2993.0,G,CBU,Germany,0,0,0,0,0,0,9,0,8,14,2,0,33
2023,SEDAN,BMW,M3 CS Limousine RHD AT 62AY,2993.0,G,CBU,Germany,0,0,0,0,0,0,7,5,0,0,0,2,14
2023,SEDAN,BMW,M4 CSL AT,2993.0,G,CBU,Germany,0,0,1,0,0,0,0,0,0,0,0,0,1
2023,SEDAN,BMW,M4 Coupe AT,2993.0,G,CBU,Germany,0,0,11,21,53,11,21,15,14,4,5,17,172
2023,SEDAN,BMW,M4 Competition M xDrive C RHD AT,2993.0,G,CBU,Germany,0,0,0,0,0,10,0,0,0,9,1,0,20
2023,SEDAN,BMW,430i Convertible AT,1998.0,G,CBU,Germany,0,0,5,21,18,8,11,0,3,11,1,0,78
2023,SEDAN,BMW,430i Coupe AT,1998.0,G,CBU,Germany,0,0,8,40,17,6,24,4,4,3,0,2,108
2023,SEDAN,BMW,530i CKD AT,1998.0,G,CKD,INA,21,0,3,7,16,1,8,6,2,0,0,0,64
2023,SEDAN,BMW,530i Touring RHD AT,1998.0,G,CBU,Germany,0,0,0,36,11,4,3,0,0,0,0,0,54
2023,SEDAN,BMW,520i G30 CKD AT,1998.0,G,CKD,INA,27,10,59,8,15,25,8,38,21,17,18,47,293
2023,SEDAN,BMW,72AG 520I,1998.0,G,CBU,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,BMW,730Li G12 CKD AT,1998.0,G,CKD,INA,1,0,1,1,0,0,0,3,2,0,0,0,8
2023,SEDAN,BMW,735i Limousine RHD A/T,2998.0,G,,,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,SEDAN,BMW,735i Limousine RHD AT,2998.0,G,,,0,0,0,0,0,0,4,14,26,8,15,28,95
