year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume,country_clean,fuel_clean,brand_clean,model_clean,sales_volume_reported,volume_mismatch_flag,assembly_clean,category_clean,brand_verified
2023,4X2,AUDI,NX 450h+,,BEV,CBU,Japan,0,1,0,0,0,22,7,72,75,12,7,27,223,Japan,BEV,AUDI,NX 450h+,217,True,CBU,4X2,False
2023,4X2,AUDI,CX-30 GT,2488.0,G,CBU,Japan,19,19,30,11,19,2,6,32,38,2,2,20,200,Japan,G,AUDI,CX-30 GT,125,True,CBU,4X2,False
2023,4X2,BMW,New CX-8 Elite,1998.0,G,CBU,Japan,10,3,3,19,5,2,80,6,6,6,23,5,168,Japan,G,BMW,New CX-8 Elite,0,True,CBU,4X2,False
2023,4X2,BMW,New CX-9,2488.0,G,CBU,Japan,5,0,25,3,13,10,3,145,92,52,2,97,447,Japan,G,BMW,New CX-9,206,True,CBU,4X2,False
2023,4X2,BMW,Cooper S Countryman F60 CKD A/T,1998.0,D,,,796,1004,99,40,610,66,30,802,817,702,28,682,5676,,D,BMW,Cooper S Countryman F60 CKD A/T,92,True,TIDAK DIKETAHUI,4X2,False
2023,4X2,DFSK,X3 sDrive20i G01 CKD AT,2000.0,G,CKD,INA,43,64,46,60,32,42,31,51,35,28,34,25,491,Indonesia,G,DFSK,X3 sDrive20i G01 CKD AT,0,True,CKD,4X2,False
2023,4X2,HINO,NEW 5008 AT Active,1598.0,G,CKD,Thailand,0,1,394,188,0,143,679,0,0,0,1464,0,2869,Thailand,G,HINO,NEW 5008 AT Active,601,True,CKD,4X2,False
2023,4X2,HINO,All New Kijang Innova G AT DSL Mi 2020,2494.0,G,CKD,M a l a ysi a,322,439,0,0,480,0,-1,267,136,252,0,481,2376,Malaysia,G,HINO,All New Kijang Innova G AT DSL Mi 2020,428,True,CKD,4X2,False
2023,4X2,HYUNDAI,(HMID) Mazda 3 Hatchback,2488.0,G,,,1,2,0,8,1,5,0,10,2,1,0,0,30,,G,HYUNDAI,(HMID) Mazda 3 Hatchback,46,True,TIDAK DIKETAHUI,4X2,False
2023,4X2,HYUNDAI - HMID,TIGGO 8 PRO PREMIUM,1798.0,G,CKD,INA,3,4,0,0,1,1,2,1,1,0,0,2,15,Indonesia,G,HYUNDAI - HMID,TIGGO 8 PRO PREMIUM,491,True,CKD,4X2,False
2023,4X2,ISUZU,GLORY 560 1.8 A/T CVT LUXURY,2000.0,G,CKD,INA,0,0,0,30,0,0,0,0,0,0,0,0,30,Indonesia,G,ISUZU,GLORY 560 1.8 A/T CVT LUXURY,47,True,CKD,4X2,False
2023,4X2,ISUZU,Mazda 6 Elite Estate 1.998 G 62 - 156 2.699 5075 x 1969 x,1747.0,-,CBU,M a l a ysi a,0,2,0,4,2,5,4,0,0,1,8,0,26,Malaysia,UNKNOWN,ISUZU,Mazda 6 Elite Estate 1.998 G 62 - 156 2.699 5075 x 1969 x,58,True,CBU,4X2,False
2023,4X2,ISUZU,All New Kijang Innova G Mi 2020,1598.0,D,CKD,Japan,298,655,632,409,446,157,983,920,583,913,1887,1057,8940,Japan,D,ISUZU,All New Kijang Innova G Mi 2020,86,True,CKD,4X2,False
2023,4X2,JEEP,AMG A 45 4MATIC (W177)*,2488.0,G,CBU,Japan,3,3,28,26,10,2,3,15,9,4,0,7,110,Japan,G,JEEP,AMG A 45 4MATIC (W177)*,1761,True,CBU,4X2,False
2023,4X2,JEEP,Pajero Sport 2.4L DAKAR (4x2) 8AT,1998.0,D,CKD,Germany,66,97,0,0,38,0,0,42,40,43,0,27,353,Germany,D,JEEP,Pajero Sport 2.4L DAKAR (4x2) 8AT,59,True,CKD,4X2,False
2023,4X2,JEEP,Pajero Sport 2.4L DAKAR Utimate (4x2) 8AT,2442.0,D,CBU,Germany,0,0,20,61,0,21,21,0,0,0,21,0,144,Germany,D,JEEP,Pajero Sport 2.4L DAKAR Utimate (4x2) 8AT,47,True,CBU,4X2,False
2023,4X2,KIA,New CR-V,2000.0,G,CKD,INA,35,26,0,0,30,0,0,0,0,0,488,0,579,Indonesia,G,KIA,New CR-V,17,True,CKD,4X2,False
2023,4X2,KIA,NX 300,1998.0,G,CBU,Korea,0,2,8,5,14,3,1,21,25,10,0,62,151,South Korea,G,KIA,NX 300,50,True,CBU,4X2,False
2023,4X2,KIA,RZ 450e,,HYBRID,CBU,Japan,0,0,8,3,1,2,2,3,1,0,1,5,26,Japan,HYBRID,KIA,RZ 450e,34,True,CBU,4X2,False
2023,4X2,KIA,RX 500h,,G,CBU,Japan,9,16,275,97,8,71,54,4,0,2,101,3,640,Japan,G,KIA,RX 500h,1,True,CBU,4X2,False
2023,4X2,LEXUS,All New CR-V 2.0 e:HEV,,BEV,,,0,0,0,0,0,0,0,0,0,7,0,0,7,,BEV,LEXUS,All New CR-V 2.0 e:HEV,1,True,TIDAK DIKETAHUI,4X2,False
2023,4X2,LEXUS,Kona EV,2000.0,G,,,0,0,0,0,0,0,0,0,0,1,0,0,1,,G,LEXUS,Kona EV,121,True,TIDAK DIKETAHUI,4X2,False
2023,4X2,LEXUS,NX 350h,1998.0,G,CBU,Korea,2,9,0,0,6,0,0,0,0,0,0,0,17,South Korea,G,LEXUS,NX 350h,96,True,CBU,4X2,False
2023,4X2,LEXUS,NX 250,1998.0,G,CBU,Japan,0,0,0,0,1,3,2,0,0,0,0,0,6,Japan,G,LEXUS,NX 250,103,True,CBU,4X2,False
2023,4X2,LEXUS,M-AMG GLA 35,2000.0,G,CKD,Japan,74,32,0,0,11,0,0,1,0,0,0,0,118,Japan,G,LEXUS,M-AMG GLA 35,1421,True,CKD,4X2,False
2023,4X2,MAZDA,T ucson,2200.0,D,CBU,South Korea,1,0,6,6,0,0,1,0,0,0,0,0,14,South Korea,D,MAZDA,T ucson,1527,True,CBU,4X2,False
